postive,neutral,negative,sentence_length,TTR,person_count,she_pronoun,he_pronoun,ease_of_readability,class
0.14,0.7660000000000000,0.094,6484,0.871452291533601,220,187,410,76.31,2
0.124,0.777,0.099,5431,0.87197467983114,147,219,406,77.14,2
0.158,0.741,0.1,4333,0.858439841397965,181,143,200,78.22,2
0.132,0.77,0.098,812,0.842816871380872,29,54,38,77.59,2
0.135,0.76,0.105,5729,0.867505475288645,106,98,309,82.52,1
0.14,0.7960000000000000,0.064,4700,0.845659284269471,115,270,135,79.22,2
0.132,0.76,0.10800000000000000,3330,0.874288432167327,66,159,238,84.7,2
0.129,0.76,0.111,3371,0.865917805719009,68,150,318,79.47,1
0.115,0.7930000000000000,0.092,6596,0.877453679740867,164,312,534,80.71,2
0.105,0.7910000000000000,0.10400000000000000,4612,0.861229300508822,198,214,372,88.58,5
0.127,0.7860000000000000,0.087,4270,0.877682392349643,262,150,281,95.3,2
0.162,0.716,0.122,3161,0.8830527772559030,273,169,226,66.32,2
0.134,0.7610000000000000,0.105,1592,0.864488824791131,75,116,139,76.71,1
0.14,0.768,0.092,5373,0.867206641173104,118,207,322,81.72,2
0.15,0.7610000000000000,0.08900000000000000,1931,0.861576224204502,88,113,125,80.66,2
0.147,0.7390000000000000,0.114,1899,0.866681929914729,81,152,147,87.94,2
0.145,0.743,0.111,6833,0.870843131195953,158,264,358,82.39,2
0.145,0.755,0.1,497,0.855073483192987,32,2,82,81.29,2
0.175,0.722,0.10300000000000000,3155,0.869530330829165,93,328,211,76.59,2
0.166,0.733,0.1,2284,0.864112935815331,77,109,159,60.12,2
0.11,0.8030000000000000,0.08800000000000000,678,0.842934497680037,38,17,71,76.96,5
0.12300000000000000,0.78,0.09700000000000000,6406,0.874846991812264,194,339,295,81.58,2
0.174,0.726,0.099,6119,0.877379703640909,174,201,177,83.94,2
0.10400000000000000,0.7980000000000000,0.098,2678,0.855485209391329,46,96,101,82.24,1
0.092,0.7860000000000000,0.122,2187,0.844749536127185,53,144,55,82.65,1
0.128,0.7860000000000000,0.086,6922,0.864813337706915,400,355,464,91.81,2
0.21900000000000000,0.6580000000000000,0.122,1128,0.888407197556413,136,71,162,65.89,2
0.125,0.8060000000000000,0.069,207,0.849376554286093,161,2,74,72.39,2
0.135,0.8110000000000000,0.054000000000000000,2336,0.852825373286521,104,158,188,77.24,2
0.154,0.738,0.10800000000000000,6277,0.8713948023937430,195,288,346,82.16,2
0.128,0.7660000000000000,0.106,5853,0.864049275541859,85,165,327,82.93,2
0.14300000000000000,0.769,0.08800000000000000,6268,0.864229376319315,91,263,280,91.9,2
0.19400000000000000,0.6940000000000000,0.11200000000000000,8915,0.864082795341221,186,255,363,79.33,2
0.191,0.688,0.122,5299,0.886616153722526,780,240,523,65.78,2
0.134,0.778,0.08900000000000000,1937,0.867689334349243,95,96,105,79.89,2
0.2,0.716,0.083,1068,0.847477674056994,62,80,45,68.36,3
0.188,0.685,0.126,3104,0.865257285184703,119,97,198,77.4,2
0.149,0.755,0.09700000000000000,4431,0.871496832573441,95,267,203,83.37,3
0.11900000000000000,0.815,0.066,2183,0.847375972882883,102,64,146,67.38,4
0.125,0.7760000000000000,0.1,3474,0.871348940019388,215,134,280,77.29,4
0.16,0.7560000000000000,0.084,5129,0.853024933381391,147,222,225,79.27,2
0.149,0.7490000000000000,0.102,6723,0.861763259818956,400,167,376,76.54,4
0.134,0.8030000000000000,0.063,2628,0.869756360964098,74,61,219,68.51,2
0.16700000000000000,0.711,0.122,9763,0.875566454436553,173,455,408,83.77,2
0.163,0.732,0.105,6343,0.872403956313944,241,366,297,81.17,2
0.134,0.752,0.113,5390,0.866447112462661,127,262,424,78.45,2
0.146,0.763,0.091,3177,0.873556683742391,167,139,228,80.58,2
0.16900000000000000,0.7240000000000000,0.107,9326,0.888766818213342,255,382,339,80.81,2
0.13,0.772,0.09700000000000000,3068,0.868672539174492,230,122,275,78.69,2
0.16,0.716,0.12300000000000000,10184,0.873110072729285,232,326,202,69.74,2
